author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Ratio tissue protein:tissue lipid,calculation using literature values,mg mg-1,,,0.46,NA,,,build up of body reserves; larval development,,,,"ID2, ID3, ID98, ID99","parameter, validation",
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Ratio tissue carbohydrate:chitin,calculation using literature values,mg mg-1,,,0.85,NA,,,build up of body reserves; larval development,,,,-,validation,
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Starvation threshold,literature review,% loss of wet weight,,adult; juvenile,45,NA,,,build up of body reserves; larval development,,,,ID114,"parameter, validation",
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Starvation threshold,literature review,days without feeding,,larvae,6,NA,,,build up of body reserves; larval development,,,,ID100,"parameter, validation",
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Conversion ingested lipid (mg d-1) to energy (J d-1),literature review,J d-1,,,39.55,NA,,,build up of body reserves; larval development,,,,-,validation,
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Conversion ingested lipid (mg d-1) to energy (J d-1),literature review,J d-1,,,23.65,NA,,,build up of body reserves; larval development,,,,-,validation,
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,spring; summer; autumn; winter,,"Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values",Conversion ingested lipid (mg d-1) to energy (J d-1),literature review,J d-1,,,17.16,NA,,,build up of body reserves; larval development,,,,-,validation,
Nicol et al. (2008),Changes in the Antarctic sea ice ecosystem: potential effectson krill and baleen whales,,,,,,,,,,,,,,,,,,,-,-,
"siegel v., bergström b., strömberg j.o., schalk p.h.","distribution, size frequencies and maturity stages of krill, euphausia superba, in relation to sea-ice in the northern weddell sea",observation,months,spring-summer,1988-1989,Weddell Sea,abundance,measurement,individuals per 1000 m3,,adults,8.8,,,,,"pepers presents distribution, stage compostion and length frequency distributions of adult krill and identifies using hierarchial analysis regions with similar krill demographies. No correlation with sea ice was found. Krill in the nortehr zone are largely immigrants form the Bellinghausien Sea and krill in the soutehrn parts is origination from the Weddell Sea.",,,-,-,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,ingestion rate,measurement,ng (pigm) ind.-1 d-1,,juvenile,566,,,,,,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,ingestion rate,measurement,ng (pigm) ind.-1 d-1,,subadult,1583,,,,,,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,ingestion rate,measurement,ng (pigm) ind.-1 d-1,,adult,3556,,,,,,,,"ID4, ID5, ID6, ID8","parameter, validation",
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,clearance rate,measurement,ml per hour,,juvenile,175,,,,,,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,clearance rate,measurement,ml per hour,,subadult,449,,,,,,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,clearance rate,measurement,ml per hour,,adult,1008,,,,,,,,"ID4, ID5, ID6, ID8","parameter, validation",
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,grazing impact,measurement,mg (pigm) m-2 d-1,,juveniles to adults,0.14,,,,,max: 1.385,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,grazing impact,measurement,% phytoplankton stock per day,,juveniles to adults,0.6,,,,,max: 6.9,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,grazing impact,measurement,% primary production per day,,juveniles to adults,2.7,,,,,max: 22.7,,,-,validation,
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,fecal pellet production,measurement,mg C m-2 d-1,,juveniles to adults,2.223,,,,,max: 15.565,,,"ID28, ID29, ID30, ID32","parameter, validation",
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,fecal pellet production,measurement,% primary production per day,,juveniles to adults,0.7,,,,,max: 5.2,,,"ID28, ID29, ID30, ID32","parameter, validation",
"pakhomov, ea",salp/krill interactions in the eastern atlantic sector of the southern ocean,observation,months,summer,1997-1998,Lazarev Sea,abundance,measurement,individual per m3,,juvenile to adult,0.01,,,,,max: 0.037,,,-,validation,
"hagen, w; vanvleet, es; kattner, g",seasonal lipid storage as overwintering strategy of antarctic krill,observation,months,summer,1985,Weddell Sea,lipid content,measurement,% DW,,juvenile to adult,28.2,,,6.9,,paper proves that lipid storage contrbutes significantly to the overwintering success.,,,ID3,"parameter, validation",
"hagen, w; vanvleet, es; kattner, g",seasonal lipid storage as overwintering strategy of antarctic krill,observation,months,autumn,1992,Weddell Sea,lipid content,measurement,% DW,,juvenile to adult,39.2,,,5.6,,,,,ID3,"parameter, validation",
"hagen, w; vanvleet, es; kattner, g",seasonal lipid storage as overwintering strategy of antarctic krill,observation,months,winter-spring,1986,Weddell Sea,lipid content,measurement,% DW,,juvenile to adult,10.5,,,4,,,,,ID99,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=47.33±7.51mm; WW=0.80±0.40g,measurement,mg.g-1,3,adults,28.24,NA,NA,6.92,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=31.75±7.04mm; WW=0.23±0.14g,measurement,mg.g-1,4,adults,52.5,NA,NA,15.22,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=42.50±6.32mm; WW=0.53±0.21g,measurement,mg.g-1,6,adults,79.54,NA,NA,34.01,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=45.67±5.51mm; WW=0.64±0.21g,measurement,mg.g-1,3,adults,85.73,NA,NA,14.38,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=48.67±3.08mm; WW=0.83±0.29g,measurement,mg.g-1,6,adults,69.82,NA,NA,32.93,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Liu et al. (2019),Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer,observation,days,summer,2014,South Shetland Islands,TFA krill size TL=38.00±2.55mm; WW=0.37±0.14g,measurement,mg.g-1,4,adults,62.14,NA,NA,19.07,build up of body reserves,% individual fatty acid contribution detailed in table 2,,,ID3,"parameter, validation",
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: females year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.1033,NA,NA,0.0142,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: females year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0052,NA,NA,0.0374,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: females year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,-0.002,NA,NA,0.0449,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: females year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0765,NA,NA,0.0097,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: females year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,-0.0082,NA,NA,0.0342,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: females year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0161,NA,NA,0.0365,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: females year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0461,NA,NA,0.0153,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: females year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,-0.0155,NA,NA,0.0155,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: females year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0139,NA,NA,0.0281,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: males year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0469,NA,NA,0.0019,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: males year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0076,NA,NA,0.0169,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: males year  2+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0252,NA,NA,0.0259,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: males year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0305,NA,NA,0.0212,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: males year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0,NA,NA,0,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: males year  3+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0284,NA,NA,0.0164,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,spring,1926-2013,Scotia-Weddell region,Mean growth rate: males year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0203,NA,NA,0.0157,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,summer,1926-2013,Scotia-Weddell region,Mean growth rate: males year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0,NA,NA,0,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Tarling et al. (2016),Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent,hybrid,years,winter,1926-2013,Scotia-Weddell region,Mean growth rate: males year  4+,Seasonally  modulated  von  Bertalanffy  functions,mm.d-1,,adult,0.0205,NA,NA,0.0115,build up of body reserves,sVBF functions optimised against length frequency data from KRILLBASE and CCAMLR. Parameter estimates and equations detailed in Table 2,,,-,validation,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,slope coefficient,exponential regression function: Wet weight ~ Total length ,NA,52,adult,0.00000067534,NA,0.972,NA,build up of body reserves,WW = (6.753 4×10^-7) *TL^3.5654,,,"ID1, ID2, ID3",parameter,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,exponent,exponential regression function: Wet weight ~ Total length ,NA,52,adult,3.5654,NA,0.972,NA,build up of body reserves,WW = (6.753 4×10^-7) *TL^3.5654,,,"ID1, ID2, ID3",parameter,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,coefficient,linear regression: δ13C/ppt ~ TL(mm),NA,NA,adult,-0.0047,FALSE,0,NA,build up of body reserves,Study also showed little monthly variation in N and C ratios,,,-,-,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,intercept,linear regression: δ13C/ppt ~ TL(mm),NA,NA,adult,-26.084,FALSE,0,NA,build up of body reserves,,,,-,-,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,coefficient,linear regression: δ15N/ppt ~ TL(mm),NA,NA,adult,0.0287,TRUE,0.172,NA,build up of body reserves,,,,-,-,
Zhu et al. (2017),inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis,hybrid,years,autumn,2012-2015,Antarctic Peninsula,intercept,linear regression: δ15N/ppt ~ TL(mm),NA,NA,adult,3.196,TRUE,0.172,NA,build up of body reserves,,,,-,-,
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % all female krill (mean 39.83mm),Instantaneous Growth Rate,%,NA,adult,2.51,NA,NA,NA,"build up of body reserves, spawning",n=1577 across all life stages,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % female krill 2F (mean 35.54mm),Instantaneous Growth Rate,%,NA,adult,3.53,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % female krill 3F (mean 42.09mm),Instantaneous Growth Rate,%,NA,adult,1.97,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % all male krill (mean 40.59mm),Instantaneous Growth Rate,%,NA,adult,4.09,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % male krill 2M (mean 40.10mm),Instantaneous Growth Rate,%,NA,adult,4.22,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % male krill 3M (mean46.42mm),Instantaneous Growth Rate,%,NA,adult,2.62,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % juvenile krill (mean 29.10mm),Instantaneous Growth Rate,%,NA,adult,4.7,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,mean growth % all krill (mean 38.48mm),Instantaneous Growth Rate,%,NA,juvenile,3.36,NA,NA,NA,"build up of body reserves, spawning",,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,NA,linear model: growth rate ~ digestive gland size,NA,NA,adult,NA,TRUE,0.7097,NA,"build up of body reserves, spawning",No coefficient provided,,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,NA,linear mixed effects model: digestive gland size ~ chla,NA,NA,adult,NA,TRUE,NA,NA,"build up of body reserves, spawning",Digestive gland size increased significantly with increasing Chlorophyll a levels (po0.001),,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,NA,linear mixed effects model: digestive gland size ~ sst,NA,NA,adult,NA,TRUE,NA,NA,"build up of body reserves, spawning",Digestive gland size increased significantly with decreasing sst (p=0.03),,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,NA,linear mixed effects model: growth rate ~ chla,NA,NA,adult,NA,TRUE,NA,NA,"build up of body reserves, spawning",growth rate increased significantly with increasing chla (p=0.003),,,-,validation,?
Virtue et al. (2010),krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006,observation,months,summer,2006,CCAMLR Division 58.4.2 - Western Indian Ocean,NA,linear mixed effects model: growth rate ~ sst,NA,NA,adult,NA,FALSE,NA,NA,"build up of body reserves, spawning",growth rate increased marginally significantly with decreasing sst (p=0.076),,,-,validation,?
Candy and Kawaguchi (2006),Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory,hybrid,years,summer,1992-2003,"South-West Atlantic, Indian Ocean",Linf,Seasonal Von Bertalanffy model,mm,NA,adult,53.89,NA,NA,0.45,"build up of body reserves, spawning","SVB parameterised using IGR and parameters reported with SE, study also reports a periodic growth model",,,-,validation,?
Candy and Kawaguchi (2006),Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory,hybrid,years,summer,1992-2003,"South-West Atlantic, Indian Ocean",t0,Seasonal Von Bertalanffy model,NA,NA,adult,0.43,NA,NA,0.09,"build up of body reserves, spawning","SVB parameterised using IGR and parameters reported with SE, study also reports a periodic growth model",,,-,validation,?
Candy and Kawaguchi (2006),Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory,hybrid,years,summer,1992-2003,"South-West Atlantic, Indian Ocean",k,Seasonal Von Bertalanffy model,NA,NA,adult,0.6792,NA,NA,0.0441,"build up of body reserves, spawning","SVB parameterised using IGR and parameters reported with SE, study also reports a periodic growth model",,,-,validation,?
Candy and Kawaguchi (2006),Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory,hybrid,years,summer,1992-2003,"South-West Atlantic, Indian Ocean",theta_0,Seasonal Von Bertalanffy model,NA,NA,adult,2.519,NA,NA,0.263,"build up of body reserves, spawning","SVB parameterised using IGR and parameters reported with SE, study also reports a periodic growth model",,,-,validation,?
Candy and Kawaguchi (2006),Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory,hybrid,years,summer,1992-2003,"South-West Atlantic, Indian Ocean",theta_1,Seasonal Von Bertalanffy model,NA,NA,adult,0.094,NA,NA,0.013,"build up of body reserves, spawning","SVB parameterised using IGR and parameters reported with SE, study also reports a periodic growth model",,,-,validation,?
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,summer,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression slope,36,adult,0.69,,0.86,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Torres et al. (1994a), Southern Scotia-Northern Weddell Sea, Meyer et al. (2010) Lazarev Sea",,,"ID16, ID14","parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,summer,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression intercept,36,adult,0,,0.86,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Torres et al. (1994a), Southern Scotia-Northern Weddell Sea, Meyer et al. (2010) Lazarev Sea",,,"ID16, ID14","parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,autumn,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression slope,29,adult,0.37,,0.93,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Atkinson et al. (2002) Lazarev Sea, Meyer et al. (2010) Lazarev Sea",,,"ID16, ID14","parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,autumn,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression intercept,29,adult,0,,0.93,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Atkinson et al. (2002) Lazarev Sea, Meyer et al. (2010) Lazarev Sea",,,"ID16, ID14","parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,winter,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression slope,49,adult,0.22,,0.78,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Torres et al. (1994a), Southern Scotia-Northern Weddell Sea, Meyer et al. (2010) Lazarev Sea",,,ID82,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,winter,1986-2010,Southern Ocean,"Oxygen uptake rate per DM, (uL O2 ind^-1 h^-1):DW (mg)",linear regression (Y = a + bX),regression intercept,49,adult,0,,0.78,,build up of body reserves,"Review takes data from: Kawaguchi et al. (1986) Lütz-Holm Bay, Torres et al. (1994a), Southern Scotia-Northern Weddell Sea, Meyer et al. (2010) Lazarev Sea",,,ID82,"parameter, validation",
Meyer 2012,"the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective",observation,years,summer,1991-2003,WAP,DW (mg):Length (mm),exponential regression (Y=aX^b),exponent,19,larvae,2.65,TRUE,0.68,,egg & larval development,"Review takes data from: : Huntley and Brinton 1991, Meyer et al. 2003",,,ID43,"parameter, validation",
